id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,quartier
2025-1075435,2025-01-07,1,Vente,140000.0,267.0,,CHE DE L ORATOIRE,5470,83200.0,83137,Toulon,83,,,83137000DT0119,,,5.0,60.47,,,,,,,,,1,2.0,Appartement,69.0,2.0,,,,,,5.899353,43.143223,Toulon - Ubc - Dardennes - Barbanne
2025-1075436,2025-01-06,1,Vente,107000.0,77.0,,RUE CAPITAINE JOSEPH CASANOVA,1196,83100.0,83137,Toulon,83,,,83137000CE0349,,,57.0,,64.0,57.55,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.954621,43.123351,Toulon - Haute ville
2025-1075436,2025-01-06,1,Vente,107000.0,77.0,,RUE CAPITAINE JOSEPH CASANOVA,1196,83100.0,83137,Toulon,83,,,83137000CE0349,,,57.0,,64.0,57.55,,,,,,,2,2.0,Appartement,58.0,3.0,,,,,,5.954621,43.123351,Toulon - Haute ville
2025-1075439,2025-01-02,1,Vente,200000.0,10.0,,RUE DE LA FRATERNITE,3050,83000.0,83137,Toulon,83,,,83137000CM0119,,,5.0,93.91,,,,,,,,,1,2.0,Appartement,90.0,3.0,,,,,,5.933723,43.120078,Toulon - Haute ville
2025-1075441,2025-01-06,1,Vente,405000.0,4.0,,PAS MONTCALM,5270,83000.0,83137,Toulon,83,,,83137000BX0314,,,7.0,117.96,,,,,,,,,1,2.0,Appartement,125.0,4.0,,,,,,5.933609,43.11052,Toulon - Haute ville
2025-1075442,2025-01-03,1,Vente,240000.0,1267.0,,COR MARIUS ESCARTEFIGUE,4905,83200.0,83137,Toulon,83,,,83137000EY0049,,,8.0,60.71,,,,,,,,,1,2.0,Appartement,75.0,3.0,,,,,,5.945068,43.134724,Toulon - Ubc - Dardennes - Barbanne
2025-1075442,2025-01-03,1,Vente,240000.0,1267.0,,COR MARIUS ESCARTEFIGUE,4905,83200.0,83137,Toulon,83,,,83137000EY0049,,,8.0,60.71,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.945068,43.134724,Toulon - Ubc - Dardennes - Barbanne
2025-1075444,2025-01-14,1,Vente,135500.0,129.0,,RUE MOREAU,5325,83200.0,83137,Toulon,83,,,83137000CX0436,,,12.0,62.34,2.0,,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.911379,43.129859,Toulon - Ubc - Dardennes - Barbanne
2025-1075444,2025-01-14,1,Vente,135500.0,129.0,,RUE MOREAU,5325,83200.0,83137,Toulon,83,,,83137000CX0436,,,12.0,62.34,2.0,,,,,,,,2,2.0,Appartement,65.0,4.0,,,,,,5.911379,43.129859,Toulon - Ubc - Dardennes - Barbanne
2025-1075446,2025-01-10,1,Vente,642105.0,166.0,,CHE DU PETIT BOIS,5720,83000.0,83137,Toulon,83,,,83137000BO0305,,,,,,,,,,,,,0,1.0,Maison,96.0,4.0,S,sols,,,398.0,5.955265,43.112402,Toulon - Haute ville
